_id,id,likes,private,downloads,tags,pipeline_tag,library_name,createdAt,modelId
66aa974d1f83b210ae7f74ae,black-forest-labs/FLUX.1-schnell,3683,False,827319,"['diffusers', 'safetensors', 'text-to-image', 'image-generation', 'flux', 'en', 'license:apache-2.0', 'endpoints_compatible', 'diffusers:FluxPipeline', 'region:us']",text-to-image,diffusers,2024-07-31T19:58:05.000Z,black-forest-labs/FLUX.1-schnell
6796251e22990ae89b1f60f1,deepseek-ai/Janus-Pro-7B,3344,False,235631,"['transformers', 'pytorch', 'multi_modality', 'muiltimodal', 'text-to-image', 'unified-model', 'any-to-any', 'arxiv:2501.17811', 'license:mit', 'endpoints_compatible', 'region:us']",any-to-any,transformers,2025-01-26T12:05:50.000Z,deepseek-ai/Janus-Pro-7B
657a1fff16886e681230c05a,microsoft/phi-2,3314,False,885255,"['transformers', 'safetensors', 'phi', 'text-generation', 'nlp', 'code', 'en', 'license:mit', 'autotrain_compatible', 'text-generation-inference', 'endpoints_compatible', 'region:us']",text-generation,transformers,2023-12-13T21:19:59.000Z,microsoft/phi-2
621ffdc136468d709f180294,sentence-transformers/all-MiniLM-L6-v2,3288,False,84511929,"['sentence-transformers', 'pytorch', 'tf', 'rust', 'onnx', 'safetensors', 'openvino', 'bert', 'feature-extraction', 'sentence-similarity', 'transformers', 'en', 'dataset:s2orc', 'dataset:flax-sentence-embeddings/stackexchange_xml', 'dataset:ms_marco', 'dataset:gooaq', 'dataset:yahoo_answers_topics', 'dataset:code_search_net', 'dataset:search_qa', 'dataset:eli5', 'dataset:snli', 'dataset:multi_nli', 'dataset:wikihow', 'dataset:natural_questions', 'dataset:trivia_qa', 'dataset:embedding-data/sentence-compression', 'dataset:embedding-data/flickr30k-captions', 'dataset:embedding-data/altlex', 'dataset:embedding-data/simple-wiki', 'dataset:embedding-data/QQP', 'dataset:embedding-data/SPECTER', 'dataset:embedding-data/PAQ_pairs', 'dataset:embedding-data/WikiAnswers', 'arxiv:1904.06472', 'arxiv:2102.07033', 'arxiv:2104.08727', 'arxiv:1704.05179', 'arxiv:1810.09305', 'license:apache-2.0', 'autotrain_compatible', 'text-embeddings-inference', 'endpoints_compatible', 'region:us']",sentence-similarity,sentence-transformers,2022-03-02T23:29:05.000Z,sentence-transformers/all-MiniLM-L6-v2
65c5577b1080431ea9e083cd,google/gemma-7b,3155,False,56148,"['transformers', 'safetensors', 'gguf', 'gemma', 'text-generation', 'arxiv:2305.14314', 'arxiv:2312.11805', 'arxiv:2009.03300', 'arxiv:1905.07830', 'arxiv:1911.11641', 'arxiv:1904.09728', 'arxiv:1905.10044', 'arxiv:1907.10641', 'arxiv:1811.00937', 'arxiv:1809.02789', 'arxiv:1911.01547', 'arxiv:1705.03551', 'arxiv:2107.03374', 'arxiv:2108.07732', 'arxiv:2110.14168', 'arxiv:2304.06364', 'arxiv:2206.04615', 'arxiv:1804.06876', 'arxiv:2110.08193', 'arxiv:2009.11462', 'arxiv:2101.11718', 'arxiv:1804.09301', 'arxiv:2109.07958', 'arxiv:2203.09509', 'license:gemma', 'autotrain_compatible', 'text-generation-inference', 'endpoints_compatible', 'region:us']",text-generation,transformers,2024-02-08T22:36:43.000Z,google/gemma-7b
636a251a2ca1d75cb49109ee,prompthero/openjourney,3128,False,20294,"['diffusers', 'safetensors', 'stable-diffusion', 'text-to-image', 'en', 'license:creativeml-openrail-m', 'autotrain_compatible', 'endpoints_compatible', 'diffusers:StableDiffusionPipeline', 'region:us']",text-to-image,diffusers,2022-11-08T09:44:58.000Z,prompthero/openjourney
655befb36d02c2b1a9284bf0,stabilityai/stable-video-diffusion-img2vid-xt,3014,False,209896,"['diffusers', 'safetensors', 'image-to-video', 'license:other', 'diffusers:StableVideoDiffusionPipeline', 'region:us']",image-to-video,diffusers,2023-11-20T23:45:55.000Z,stabilityai/stable-video-diffusion-img2vid-xt
644677e41173e85ac7f10745,bigcode/starcoder,2873,False,11168,"['transformers', 'pytorch', 'safetensors', 'gpt_bigcode', 'text-generation', 'code', 'dataset:bigcode/the-stack-dedup', 'arxiv:1911.02150', 'arxiv:2205.14135', 'arxiv:2207.14255', 'arxiv:2305.06161', 'license:bigcode-openrail-m', 'model-index', 'autotrain_compatible', 'text-generation-inference', 'endpoints_compatible', 'region:us']",text-generation,transformers,2023-04-24T12:36:52.000Z,bigcode/starcoder
640f4f1409c94e1d9bca3ffc,THUDM/chatglm-6b,2854,False,4274,"['transformers', 'pytorch', 'chatglm', 'glm', 'thudm', 'custom_code', 'zh', 'en', 'arxiv:2103.10360', 'arxiv:2210.02414', 'arxiv:2406.12793', 'endpoints_compatible', 'region:us']",,transformers,2023-03-13T16:28:04.000Z,THUDM/chatglm-6b
63009e8b79c5ddbc6cf69877,CompVis/stable-diffusion-v-1-4-original,2790,False,0,"['stable-diffusion', 'text-to-image', 'arxiv:2207.12598', 'arxiv:2112.10752', 'arxiv:2103.00020', 'arxiv:2205.11487', 'arxiv:1910.09700', 'license:creativeml-openrail-m', 'region:us']",text-to-image,stable-diffusion,2022-08-20T08:42:51.000Z,CompVis/stable-diffusion-v-1-4-original
65770c3426ef61bbf101d4da,mistralai/Mistral-7B-Instruct-v0.2,2725,False,1410451,"['transformers', 'pytorch', 'safetensors', 'mistral', 'text-generation', 'finetuned', 'conversational', 'arxiv:2310.06825', 'license:apache-2.0', 'autotrain_compatible', 'text-generation-inference', 'endpoints_compatible', 'region:us']",text-generation,transformers,2023-12-11T13:18:44.000Z,mistralai/Mistral-7B-Instruct-v0.2
